# E (eV)  dos(E)    pdos(E)
-20.000  0.275E+00  0.269E+00
-19.900  0.423E+00  0.415E+00
-19.800  0.551E+00  0.541E+00
-19.700  0.607E+00  0.597E+00
-19.600  0.617E+00  0.607E+00
-19.500  0.619E+00  0.608E+00
-19.400  0.620E+00  0.608E+00
-19.300  0.620E+00  0.609E+00
-19.200  0.621E+00  0.610E+00
-19.100  0.622E+00  0.610E+00
-19.000  0.623E+00  0.611E+00
-18.900  0.623E+00  0.612E+00
-18.800  0.624E+00  0.612E+00
-18.700  0.625E+00  0.613E+00
-18.600  0.626E+00  0.614E+00
-18.500  0.627E+00  0.615E+00
-18.400  0.628E+00  0.616E+00
-18.300  0.629E+00  0.617E+00
-18.200  0.630E+00  0.618E+00
-18.100  0.631E+00  0.619E+00
-18.000  0.632E+00  0.620E+00
-17.900  0.633E+00  0.621E+00
-17.800  0.634E+00  0.622E+00
-17.700  0.635E+00  0.623E+00
-17.600  0.636E+00  0.624E+00
-17.500  0.638E+00  0.626E+00
-17.400  0.639E+00  0.627E+00
-17.300  0.640E+00  0.629E+00
-17.200  0.642E+00  0.630E+00
-17.100  0.643E+00  0.632E+00
-17.000  0.645E+00  0.633E+00
-16.900  0.647E+00  0.635E+00
-16.800  0.648E+00  0.637E+00
-16.700  0.650E+00  0.639E+00
-16.600  0.652E+00  0.641E+00
-16.500  0.654E+00  0.643E+00
-16.400  0.657E+00  0.646E+00
-16.300  0.659E+00  0.648E+00
-16.200  0.662E+00  0.651E+00
-16.100  0.665E+00  0.654E+00
-16.000  0.668E+00  0.657E+00
-15.900  0.672E+00  0.661E+00
-15.800  0.676E+00  0.666E+00
-15.700  0.681E+00  0.671E+00
-15.600  0.687E+00  0.677E+00
-15.500  0.693E+00  0.683E+00
-15.400  0.702E+00  0.692E+00
-15.300  0.713E+00  0.703E+00
-15.200  0.727E+00  0.717E+00
-15.100  0.749E+00  0.739E+00
-15.000  0.784E+00  0.775E+00
-14.900  0.849E+00  0.839E+00
-14.800  0.906E+00  0.896E+00
-14.700  0.865E+00  0.856E+00
-14.600  0.732E+00  0.725E+00
-14.500  0.607E+00  0.602E+00
-14.400  0.522E+00  0.517E+00
-14.300  0.457E+00  0.452E+00
-14.200  0.404E+00  0.400E+00
-14.100  0.357E+00  0.354E+00
-14.000  0.317E+00  0.314E+00
-13.900  0.293E+00  0.290E+00
-13.800  0.336E+00  0.332E+00
-13.700  0.476E+00  0.468E+00
-13.600  0.605E+00  0.595E+00
-13.500  0.651E+00  0.641E+00
-13.400  0.659E+00  0.648E+00
-13.300  0.661E+00  0.650E+00
-13.200  0.667E+00  0.656E+00
-13.100  0.695E+00  0.685E+00
-13.000  0.778E+00  0.767E+00
-12.900  0.894E+00  0.882E+00
-12.800  0.927E+00  0.915E+00
-12.700  0.862E+00  0.851E+00
-12.600  0.796E+00  0.787E+00
-12.500  0.755E+00  0.746E+00
-12.400  0.726E+00  0.718E+00
-12.300  0.702E+00  0.694E+00
-12.200  0.682E+00  0.674E+00
-12.100  0.664E+00  0.657E+00
-12.000  0.647E+00  0.641E+00
-11.900  0.632E+00  0.626E+00
-11.800  0.618E+00  0.612E+00
-11.700  0.604E+00  0.598E+00
-11.600  0.592E+00  0.586E+00
-11.500  0.580E+00  0.574E+00
-11.400  0.568E+00  0.563E+00
-11.300  0.558E+00  0.552E+00
-11.200  0.557E+00  0.552E+00
-11.100  0.592E+00  0.587E+00
-11.000  0.660E+00  0.653E+00
-10.900  0.705E+00  0.698E+00
-10.800  0.719E+00  0.711E+00
-10.700  0.723E+00  0.715E+00
-10.600  0.727E+00  0.719E+00
-10.500  0.731E+00  0.723E+00
-10.400  0.735E+00  0.727E+00
-10.300  0.739E+00  0.732E+00
-10.200  0.744E+00  0.736E+00
-10.100  0.748E+00  0.741E+00
-10.000  0.753E+00  0.746E+00
 -9.900  0.759E+00  0.751E+00
 -9.800  0.764E+00  0.757E+00
 -9.700  0.770E+00  0.763E+00
 -9.600  0.776E+00  0.769E+00
 -9.500  0.782E+00  0.775E+00
 -9.400  0.789E+00  0.782E+00
 -9.300  0.796E+00  0.789E+00
 -9.200  0.803E+00  0.797E+00
 -9.100  0.812E+00  0.805E+00
 -9.000  0.820E+00  0.813E+00
 -8.900  0.832E+00  0.825E+00
 -8.800  0.860E+00  0.852E+00
 -8.700  0.943E+00  0.932E+00
 -8.600  0.105E+01  0.104E+01
 -8.500  0.112E+01  0.110E+01
 -8.400  0.114E+01  0.112E+01
 -8.300  0.116E+01  0.114E+01
 -8.200  0.117E+01  0.116E+01
 -8.100  0.119E+01  0.118E+01
 -8.000  0.121E+01  0.120E+01
 -7.900  0.123E+01  0.122E+01
 -7.800  0.126E+01  0.124E+01
 -7.700  0.129E+01  0.128E+01
 -7.600  0.136E+01  0.134E+01
 -7.500  0.149E+01  0.147E+01
 -7.400  0.164E+01  0.162E+01
 -7.300  0.174E+01  0.172E+01
 -7.200  0.184E+01  0.182E+01
 -7.100  0.200E+01  0.198E+01
 -7.000  0.220E+01  0.218E+01
 -6.900  0.223E+01  0.221E+01
 -6.800  0.205E+01  0.203E+01
 -6.700  0.186E+01  0.184E+01
 -6.600  0.173E+01  0.172E+01
 -6.500  0.165E+01  0.163E+01
 -6.400  0.158E+01  0.157E+01
 -6.300  0.153E+01  0.152E+01
 -6.200  0.149E+01  0.147E+01
 -6.100  0.145E+01  0.144E+01
 -6.000  0.141E+01  0.140E+01
 -5.900  0.138E+01  0.137E+01
 -5.800  0.135E+01  0.134E+01
 -5.700  0.133E+01  0.132E+01
 -5.600  0.131E+01  0.130E+01
 -5.500  0.128E+01  0.128E+01
 -5.400  0.126E+01  0.126E+01
 -5.300  0.125E+01  0.124E+01
 -5.200  0.123E+01  0.122E+01
 -5.100  0.121E+01  0.121E+01
 -5.000  0.120E+01  0.119E+01
 -4.900  0.119E+01  0.118E+01
 -4.800  0.117E+01  0.117E+01
 -4.700  0.116E+01  0.116E+01
 -4.600  0.115E+01  0.115E+01
 -4.500  0.114E+01  0.114E+01
 -4.400  0.114E+01  0.113E+01
 -4.300  0.113E+01  0.113E+01
 -4.200  0.112E+01  0.112E+01
 -4.100  0.112E+01  0.112E+01
 -4.000  0.112E+01  0.111E+01
 -3.900  0.112E+01  0.111E+01
 -3.800  0.111E+01  0.111E+01
 -3.700  0.108E+01  0.108E+01
 -3.600  0.968E+00  0.965E+00
 -3.500  0.820E+00  0.818E+00
 -3.400  0.767E+00  0.764E+00
 -3.300  0.801E+00  0.799E+00
 -3.200  0.867E+00  0.864E+00
 -3.100  0.903E+00  0.900E+00
 -3.000  0.868E+00  0.865E+00
 -2.900  0.842E+00  0.839E+00
 -2.800  0.879E+00  0.876E+00
 -2.700  0.933E+00  0.930E+00
 -2.600  0.873E+00  0.870E+00
 -2.500  0.738E+00  0.736E+00
 -2.400  0.630E+00  0.628E+00
 -2.300  0.556E+00  0.554E+00
 -2.200  0.499E+00  0.497E+00
 -2.100  0.450E+00  0.449E+00
 -2.000  0.408E+00  0.407E+00
 -1.900  0.370E+00  0.368E+00
 -1.800  0.336E+00  0.334E+00
 -1.700  0.303E+00  0.301E+00
 -1.600  0.273E+00  0.272E+00
 -1.500  0.244E+00  0.243E+00
 -1.400  0.217E+00  0.216E+00
 -1.300  0.191E+00  0.190E+00
 -1.200  0.166E+00  0.165E+00
 -1.100  0.141E+00  0.140E+00
 -1.000  0.115E+00  0.114E+00
 -0.900  0.877E-01  0.872E-01
 -0.800  0.663E-01  0.659E-01
 -0.700  0.506E-01  0.503E-01
 -0.600  0.339E-01  0.337E-01
 -0.500  0.152E-01  0.151E-01
 -0.400  0.347E-02  0.344E-02
 -0.300  0.334E-03  0.332E-03
 -0.200  0.126E-04  0.125E-04
 -0.100  0.179E-06  0.177E-06
