# E (eV)  dosup(E)   dosdw(E)  pdosup(E)  pdosdw(E)
-20.000  0.117E+00  0.117E+00  0.114E+00  0.114E+00
-19.995  0.122E+00  0.122E+00  0.120E+00  0.120E+00
-19.990  0.127E+00  0.127E+00  0.125E+00  0.125E+00
-19.985  0.133E+00  0.133E+00  0.130E+00  0.130E+00
-19.980  0.138E+00  0.138E+00  0.136E+00  0.136E+00
-19.975  0.144E+00  0.144E+00  0.141E+00  0.141E+00
-19.970  0.149E+00  0.149E+00  0.146E+00  0.146E+00
-19.965  0.155E+00  0.155E+00  0.152E+00  0.152E+00
-19.960  0.160E+00  0.160E+00  0.157E+00  0.157E+00
-19.955  0.166E+00  0.166E+00  0.163E+00  0.163E+00
-19.950  0.171E+00  0.171E+00  0.168E+00  0.168E+00
-19.945  0.177E+00  0.177E+00  0.174E+00  0.174E+00
-19.940  0.182E+00  0.182E+00  0.179E+00  0.179E+00
-19.935  0.188E+00  0.188E+00  0.184E+00  0.184E+00
-19.930  0.193E+00  0.193E+00  0.189E+00  0.189E+00
-19.925  0.198E+00  0.198E+00  0.194E+00  0.194E+00
-19.920  0.203E+00  0.203E+00  0.200E+00  0.200E+00
-19.915  0.208E+00  0.208E+00  0.205E+00  0.205E+00
-19.910  0.213E+00  0.213E+00  0.209E+00  0.209E+00
-19.905  0.218E+00  0.218E+00  0.214E+00  0.214E+00
-19.900  0.223E+00  0.223E+00  0.219E+00  0.219E+00
-19.895  0.228E+00  0.228E+00  0.223E+00  0.223E+00
-19.890  0.232E+00  0.232E+00  0.228E+00  0.228E+00
-19.885  0.236E+00  0.236E+00  0.232E+00  0.232E+00
-19.880  0.241E+00  0.241E+00  0.236E+00  0.236E+00
-19.875  0.245E+00  0.245E+00  0.240E+00  0.240E+00
-19.870  0.249E+00  0.249E+00  0.244E+00  0.244E+00
-19.865  0.252E+00  0.252E+00  0.248E+00  0.248E+00
-19.860  0.256E+00  0.256E+00  0.251E+00  0.251E+00
-19.855  0.260E+00  0.260E+00  0.255E+00  0.255E+00
-19.850  0.263E+00  0.263E+00  0.258E+00  0.258E+00
-19.845  0.266E+00  0.266E+00  0.261E+00  0.261E+00
-19.840  0.269E+00  0.269E+00  0.264E+00  0.264E+00
-19.835  0.272E+00  0.272E+00  0.267E+00  0.267E+00
-19.830  0.275E+00  0.275E+00  0.270E+00  0.270E+00
-19.825  0.277E+00  0.277E+00  0.272E+00  0.272E+00
-19.820  0.280E+00  0.280E+00  0.275E+00  0.275E+00
-19.815  0.282E+00  0.282E+00  0.277E+00  0.277E+00
-19.810  0.284E+00  0.284E+00  0.279E+00  0.279E+00
-19.805  0.286E+00  0.286E+00  0.281E+00  0.281E+00
-19.800  0.288E+00  0.288E+00  0.283E+00  0.283E+00
-19.795  0.290E+00  0.290E+00  0.285E+00  0.285E+00
-19.790  0.292E+00  0.292E+00  0.287E+00  0.287E+00
-19.785  0.293E+00  0.293E+00  0.288E+00  0.288E+00
-19.780  0.295E+00  0.295E+00  0.289E+00  0.289E+00
-19.775  0.296E+00  0.296E+00  0.291E+00  0.291E+00
-19.770  0.297E+00  0.297E+00  0.292E+00  0.292E+00
-19.765  0.298E+00  0.298E+00  0.293E+00  0.293E+00
-19.760  0.300E+00  0.300E+00  0.294E+00  0.294E+00
-19.755  0.300E+00  0.300E+00  0.295E+00  0.295E+00
-19.750  0.301E+00  0.301E+00  0.296E+00  0.296E+00
-19.745  0.302E+00  0.302E+00  0.297E+00  0.297E+00
-19.740  0.303E+00  0.303E+00  0.297E+00  0.297E+00
-19.735  0.304E+00  0.304E+00  0.298E+00  0.298E+00
-19.730  0.304E+00  0.304E+00  0.299E+00  0.299E+00
-19.725  0.305E+00  0.305E+00  0.299E+00  0.299E+00
-19.720  0.305E+00  0.305E+00  0.300E+00  0.300E+00
-19.715  0.306E+00  0.306E+00  0.300E+00  0.300E+00
-19.710  0.306E+00  0.306E+00  0.300E+00  0.300E+00
-19.705  0.306E+00  0.306E+00  0.301E+00  0.301E+00
-19.700  0.307E+00  0.307E+00  0.301E+00  0.301E+00
-19.695  0.307E+00  0.307E+00  0.301E+00  0.301E+00
-19.690  0.307E+00  0.307E+00  0.302E+00  0.302E+00
-19.685  0.307E+00  0.307E+00  0.302E+00  0.302E+00
-19.680  0.308E+00  0.308E+00  0.302E+00  0.302E+00
-19.675  0.308E+00  0.308E+00  0.302E+00  0.302E+00
-19.670  0.308E+00  0.308E+00  0.302E+00  0.302E+00
-19.665  0.308E+00  0.308E+00  0.302E+00  0.302E+00
-19.660  0.308E+00  0.308E+00  0.303E+00  0.303E+00
