# E (eV)  dosup(E)   dosdw(E)  pdosup(E)  pdosdw(E)
-20.000  0.119E+00  0.119E+00  0.117E+00  0.117E+00
-19.500  0.309E+00  0.309E+00  0.304E+00  0.304E+00
-19.000  0.311E+00  0.311E+00  0.305E+00  0.305E+00
-18.500  0.314E+00  0.314E+00  0.308E+00  0.308E+00
-18.000  0.318E+00  0.318E+00  0.311E+00  0.311E+00
-17.500  0.324E+00  0.324E+00  0.317E+00  0.317E+00
-17.000  0.323E+00  0.323E+00  0.317E+00  0.317E+00
-16.500  0.317E+00  0.317E+00  0.311E+00  0.311E+00
-16.000  0.350E+00  0.350E+00  0.344E+00  0.344E+00
-15.500  0.327E+00  0.327E+00  0.322E+00  0.322E+00
-15.000  0.409E+00  0.409E+00  0.404E+00  0.404E+00
-14.500  0.297E+00  0.297E+00  0.294E+00  0.294E+00
-14.000  0.175E+00  0.175E+00  0.174E+00  0.174E+00
-13.500  0.317E+00  0.317E+00  0.312E+00  0.312E+00
-13.000  0.384E+00  0.384E+00  0.378E+00  0.378E+00
-12.500  0.377E+00  0.377E+00  0.373E+00  0.373E+00
-12.000  0.322E+00  0.322E+00  0.319E+00  0.319E+00
-11.500  0.284E+00  0.284E+00  0.282E+00  0.282E+00
-11.000  0.323E+00  0.323E+00  0.319E+00  0.319E+00
-10.500  0.372E+00  0.372E+00  0.368E+00  0.368E+00
-10.000  0.355E+00  0.355E+00  0.352E+00  0.352E+00
 -9.500  0.414E+00  0.414E+00  0.410E+00  0.410E+00
 -9.000  0.447E+00  0.447E+00  0.444E+00  0.444E+00
 -8.500  0.476E+00  0.476E+00  0.469E+00  0.469E+00
 -8.000  0.624E+00  0.624E+00  0.615E+00  0.615E+00
 -7.500  0.810E+00  0.810E+00  0.799E+00  0.799E+00
 -7.000  0.106E+01  0.106E+01  0.105E+01  0.105E+01
 -6.500  0.821E+00  0.821E+00  0.813E+00  0.813E+00
 -6.000  0.708E+00  0.708E+00  0.702E+00  0.702E+00
 -5.500  0.629E+00  0.629E+00  0.625E+00  0.625E+00
 -5.000  0.600E+00  0.600E+00  0.597E+00  0.597E+00
 -4.500  0.580E+00  0.580E+00  0.578E+00  0.578E+00
 -4.000  0.539E+00  0.539E+00  0.537E+00  0.537E+00
 -3.500  0.447E+00  0.447E+00  0.446E+00  0.446E+00
 -3.000  0.394E+00  0.394E+00  0.393E+00  0.393E+00
 -2.500  0.428E+00  0.428E+00  0.427E+00  0.427E+00
 -2.000  0.190E+00  0.190E+00  0.190E+00  0.190E+00
 -1.500  0.129E+00  0.129E+00  0.128E+00  0.128E+00
 -1.000  0.558E-01  0.558E-01  0.555E-01  0.555E-01
 -0.500  0.250E-01  0.250E-01  0.248E-01  0.248E-01
  0.000  0.605E-01  0.605E-01  0.599E-01  0.599E-01
  0.500  0.161E+00  0.161E+00  0.159E+00  0.159E+00
  1.000  0.380E+00  0.380E+00  0.366E+00  0.366E+00
  1.500  0.438E+00  0.438E+00  0.421E+00  0.421E+00
  2.000  0.329E+00  0.329E+00  0.317E+00  0.317E+00
  2.500  0.291E+00  0.291E+00  0.281E+00  0.281E+00
  3.000  0.338E+00  0.338E+00  0.233E+00  0.233E+00
  3.500  0.423E+00  0.423E+00  0.197E+00  0.197E+00
  4.000  0.448E+00  0.448E+00  0.173E+00  0.173E+00
  4.500  0.508E+00  0.508E+00  0.171E+00  0.171E+00
  5.000  0.522E+00  0.522E+00  0.177E+00  0.177E+00
  5.500  0.626E+00  0.626E+00  0.173E+00  0.173E+00
  6.000  0.567E+00  0.567E+00  0.143E+00  0.143E+00
  6.500  0.452E+00  0.452E+00  0.102E+00  0.102E+00
  7.000  0.771E+00  0.771E+00  0.418E+00  0.418E+00
  7.500  0.418E+00  0.418E+00  0.191E+00  0.191E+00
  8.000  0.314E+00  0.314E+00  0.149E+00  0.149E+00
  8.500  0.249E+00  0.249E+00  0.120E+00  0.120E+00
  9.000  0.178E+00  0.178E+00  0.932E-01  0.932E-01
  9.500  0.249E+00  0.249E+00  0.707E-01  0.707E-01
 10.000  0.218E+00  0.218E+00  0.499E-01  0.499E-01
 10.500  0.425E-01  0.425E-01  0.179E-01  0.179E-01
 11.000  0.122E+00  0.122E+00  0.102E-01  0.102E-01
 11.500  0.533E-07  0.533E-07  0.314E-08  0.314E-08
